# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 2.6088614775432450E-19 7.2422725937963514E+03 -5.0828758360841526E+00
0.0000000000000000E+00 5.0000000000000003E-02 1.1858461261560200E-19 7.2422725937963514E+03 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 1.2874900798265370E-19 1.0721814467109931E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 -7.7927031147395631E-20 9.3449257308528340E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 1.5924219408380851E-19 7.1691138778628019E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 6.7762635780344027E-21 5.5583605461248853E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 -6.9456701674852628E-20 4.5423814344900029E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 -1.5246593050577411E-19 3.9031906771124109E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 3.8624702394796100E-19 3.4803634340145541E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 4.0657581468206422E-20 3.1821955109067640E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 5.4887734982078662E-19 2.9529732018649120E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 -1.1655173354219171E-18 2.7537174531782121E+03 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 7.9621097041904232E-20 2.5540568337775348E+03 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 3.9641141931501261E-19 2.3289488361238568E+03 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 -1.4738373282224830E-18 2.0589886912388201E+03 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 1.0028870095490920E-18 1.7348853644448920E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 -3.5795612350966732E-18 1.3639897968405130E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.5000000000000009E-01 -1.5534584252643870E-18 9.7147986487910441E+02 1.0000000000000000E+00
0.0000000000000000E+00 9.0000000000000002E-01 -5.5836411883003478E-18 5.8680345818027433E+02 1.0000000000000000E+00
0.0000000000000000E+00 9.5000000000000007E-01 -1.1058862159352150E-17 2.1251136371657589E+02 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000000E+00 -8.3500507940328927E-18 2.1251144262531031E+02 9.7405998884487244E-01
5.0000000000000003E-02 0.0000000000000000E+00 1.5754812818929991E-19 7.2422725937963514E+03 -1.1165751672168311E+01
5.0000000000000003E-02 5.0000000000000003E-02 4.4793468173274036E+00 -3.7341131463947781E+03 -1.0199684688341920E+01
5.0000000000000003E-02 1.0000000000000001E-01 6.9163017533240732E+00 -4.8445052209345213E+03 -7.3014837368627497E+00
5.0000000000000003E-02 1.5000000000000002E-01 6.5145256787089618E+00 -3.0549902987593382E+03 -4.5741931932007001E+00
5.0000000000000003E-02 2.0000000000000001E-01 5.3076735213824184E+00 -1.5998116840421860E+03 -2.7003942139267578E+00
5.0000000000000003E-02 2.5000000000000000E-01 4.2709905853498364E+00 -8.6634399289520979E+02 -1.5285865730739969E+00
5.0000000000000003E-02 3.0000000000000004E-01 3.5626831277227469E+00 -5.3432361726836200E+02 -7.9380005801927933E-01
5.0000000000000003E-02 3.5000000000000003E-01 3.1027093401132810E+00 -3.5987915987600837E+02 -3.1782407465143381E-01
5.0000000000000003E-02 4.0000000000000002E-01 2.8006687626934501E+00 -2.3912203788426291E+02 -2.6477295925304790E-04
5.0000000000000003E-02 4.5000000000000001E-01 2.5943387816073131E+00 -1.3797813151754210E+02 2.1722116019003021E-01
5.0000000000000003E-02 5.0000000000000000E-01 2.4415688862439451E+00 -4.6181251378965371E+01 3.7089857692431272E-01
5.0000000000000003E-02 5.5000000000000004E-01 2.3112022668380030E+00 3.9450368744724329E+01 4.8398472540337117E-01
5.0000000000000003E-02 6.0000000000000009E-01 2.1780857413909338E+00 1.1929195599434470E+02 5.7145324337591530E-01
5.0000000000000003E-02 6.5000000000000002E-01 2.0205397760191839E+00 1.9139764567807089E+02 6.4303296710394886E-01
5.0000000000000003E-02 7.0000000000000007E-01 1.8202784977622610E+00 2.5069088195532879E+02 7.0506450133950493E-01
5.0000000000000003E-02 7.5000000000000000E-01 1.5657266174967861E+00 2.8797304111300798E+02 7.6155438238975104E-01
5.0000000000000003E-02 8.0000000000000004E-01 1.2578486716560819E+00 2.9085712832522302E+02 8.1474220651957330E-01
5.0000000000000003E-02 8.5000000000000009E-01 9.1338338504181271E-01 2.4916032901187140E+02 8.6504435604029473E-01
5.0000000000000003E-02 9.0000000000000002E-01 5.5863498233111630E-01 1.6711700127744359E+02 9.0912151377336259E-01
5.0000000000000003E-02 9.5000000000000007E-01 2.2064472513646641E-01 1.0452459711262760E+02 9.3837036171064936E-01
5.0000000000000003E-02 1.0000000000000000E+00 -5.7462715141731743E-18 2.1251152153404479E+02 9.4811997768974487E-01
1.0000000000000001E-01 0.0000000000000000E+00 1.3383120566617950E-19 9.9944466713178406E+02 -7.8878624887462490E+00
1.0000000000000001E-01 5.0000000000000003E-02 1.6658023717854860E+00 1.9990362388741280E+03 -7.3259796897629439E+00
1.0000000000000001E-01 1.0000000000000001E-01 4.5600711039798529E+00 1.2677771795425590E+03 -5.6403312928130278E+00
1.0000000000000001E-01 1.5000000000000002E-01 6.1966514656164948E+00 -1.5238715965051171E+02 -4.2974745798747236E+00
1.0000000000000001E-01 2.0000000000000001E-01 6.4456484921701502E+00 -7.8522289117201069E+02 -3.0788054528612512E+00
1.0000000000000001E-01 2.5000000000000000E-01 6.0477456455084964E+00 -9.2145577809391762E+02 -2.0820319158363270E+00
1.0000000000000001E-01 3.0000000000000004E-01 5.5412235024467540E+00 -8.8242524689949812E+02 -1.3328774138158870E+00
1.0000000000000001E-01 3.5000000000000003E-01 5.1477875435338207E+00 -8.1359527662517769E+02 -7.9864133794248404E-01
1.0000000000000001E-01 4.0000000000000002E-01 4.9078218165265666E+00 -7.5655934554534042E+02 -4.2509911675786921E-01
1.0000000000000001E-01 4.5000000000000001E-01 4.7901721384178284E+00 -7.1463880795660907E+02 -1.6154252297413160E-01
1.0000000000000001E-01 5.0000000000000000E-01 4.7452813646422793E+00 -6.8151946851885509E+02 3.0209704732139710E-02
1.0000000000000001E-01 5.5000000000000004E-01 4.7237803645182250E+00 -6.5062635291310278E+02 1.7616443369976581E-01
1.0000000000000001E-01 6.0000000000000009E-01 4.6788308215803527E+00 -6.1672599106646999E+02 2.9349673516058461E-01
1.0000000000000001E-01 6.5000000000000002E-01 4.5622889933789557E+00 -5.7474964803338594E+02 3.9377993387712079E-01
1.0000000000000001E-01 7.0000000000000007E-01 4.3215748210993201E+00 -5.1810586954814892E+02 4.8518419646343702E-01
1.0000000000000001E-01 7.5000000000000000E-01 3.9047119248069850E+00 -4.3895097407680879E+02 5.7350779890042669E-01
1.0000000000000001E-01 8.0000000000000004E-01 3.2794275265693309E+00 -3.3404064815017989E+02 6.6211237900503528E-01
1.0000000000000001E-01 8.5000000000000009E-01 2.4599507272736219E+00 -2.1472818833184741E+02 7.5079370138315149E-01
1.0000000000000001E-01 9.0000000000000002E-01 1.5183043347909819E+00 -9.9723489301162573E+01 8.3176912824438487E-01
1.0000000000000001E-01 9.5000000000000007E-01 5.8525541878400766E-01 9.7410524278435986E+01 8.8602891174374598E-01
1.0000000000000001E-01 1.0000000000000000E+00 -3.2915700330302111E-18 6.5360163807869128E+02 9.0411550624353298E-01
1.5000000000000002E-01 0.0000000000000000E+00 6.7762635780344027E-21 3.3317322236484129E+03 -9.1025618727895843E+00
1.5000000000000002E-01 5.0000000000000003E-02 2.6213823119598141E+00 -3.7214708608914248E+02 -8.5269480678063942E+00
1.5000000000000002E-01 1.0000000000000001E-01 5.4154787224887313E+00 -1.5761659181167629E+03 -6.8001066528568206E+00
1.5000000000000002E-01 1.5000000000000002E-01 6.2797951602630029E+00 -6.5676383033250124E+02 -4.5572344452459541E+00
1.5000000000000002E-01 2.0000000000000001E-01 6.1241706888307093E+00 -1.6571633879455109E+02 -2.9225761486956761E+00
1.5000000000000002E-01 2.5000000000000000E-01 5.7155944079034988E+00 -7.6898866600019645E+01 -1.8765040858393289E+00
1.5000000000000002E-01 3.0000000000000004E-01 5.3693983510964758E+00 -9.8166344275326821E+01 -1.1930603309128520E+00
1.5000000000000002E-01 3.5000000000000003E-01 5.1937720310389990E+00 -1.4899058379496671E+02 -7.3389048695739434E-01
1.5000000000000002E-01 4.0000000000000002E-01 5.1891417578423864E+00 -2.0727973891409840E+02 -4.1771033942673480E-01
1.5000000000000002E-01 4.5000000000000001E-01 5.3099882562552239E+00 -2.6442603104304408E+02 -1.9253075694933000E-01
1.5000000000000002E-01 5.0000000000000000E-01 5.5004228238264794E+00 -3.1788152818404029E+02 -2.4879456496064101E-02
1.5000000000000002E-01 5.5000000000000004E-01 5.7066230194852148E+00 -3.6850391116109239E+02 1.0654010656814290E-01
1.5000000000000002E-01 6.0000000000000009E-01 5.8755653597479052E+00 -4.1838642998385450E+02 2.1544142712800349E-01
1.5000000000000002E-01 6.5000000000000002E-01 5.9469867637176899E+00 -4.6805351009314597E+02 3.1119089135735062E-01
1.5000000000000002E-01 7.0000000000000007E-01 5.8441840349271130E+00 -5.1149466681484370E+02 4.0101345674609129E-01
1.5000000000000002E-01 7.5000000000000000E-01 5.4741124039446962E+00 -5.3034724109791182E+02 4.9117707000949279E-01
1.5000000000000002E-01 8.0000000000000004E-01 4.7522005377681946E+00 -4.9602017516575398E+02 5.8652096699725531E-01
1.5000000000000002E-01 8.5000000000000009E-01 3.6549303100911268E+00 -3.8939253980731871E+02 6.8730235005929796E-01
1.5000000000000002E-01 9.0000000000000002E-01 2.2704277101289159E+00 -2.0614706964913759E+02 7.8234289501637855E-01
1.5000000000000002E-01 9.5000000000000007E-01 8.4559893316232171E-01 1.5994542771686400E+02 8.4616499036764048E-01
1.5000000000000002E-01 1.0000000000000000E+00 -2.9442865246559480E-18 9.3474658051511187E+02 8.6743902215139446E-01
2.0000000000000001E-01 0.0000000000000000E+00 2.6596834543785031E-19 2.8857589034128732E+03 -9.2962561105569730E+00
2.0000000000000001E-01 5.0000000000000003E-02 2.4738804106150618E+00 1.6579500170469260E+02 -8.6378719821956338E+00
2.0000000000000001E-01 1.0000000000000001E-01 5.0245177607172931E+00 -5.0479404898962241E+02 -6.6627195971116162E+00
2.0000000000000001E-01 1.5000000000000002E-01 5.8596259334278864E+00 -3.8256220796064412E+02 -4.4969531637725710E+00
2.0000000000000001E-01 2.0000000000000001E-01 5.5363444419785504E+00 1.3067077613702840E+00 -2.8212053663726251E+00
2.0000000000000001E-01 2.5000000000000000E-01 5.0098082329269502E+00 1.6938520783676870E+02 -1.7389887407139271E+00
2.0000000000000001E-01 3.0000000000000004E-01 4.6877124262173044E+00 1.7616162465996860E+02 -1.0694019558213159E+00
2.0000000000000001E-01 3.5000000000000003E-01 4.6311156722202664E+00 1.2357981706905150E+02 -6.4297791546718963E-01
2.0000000000000001E-01 4.0000000000000002E-01 4.7852904238936809E+00 6.0004849104822497E+01 -3.5711382359025712E-01
2.0000000000000001E-01 4.5000000000000001E-01 5.0761521690155167E+00 4.9722551019069849E-01 -1.5423628766689129E-01
2.0000000000000001E-01 5.0000000000000000E-01 5.4371575563515222E+00 -5.4238700208447327E+01 -1.6314608828477881E-03
2.0000000000000001E-01 5.5000000000000004E-01 5.8105077269417276E+00 -1.0853569019235520E+02 1.1993744367608490E-01
2.0000000000000001E-01 6.0000000000000009E-01 6.1406021474036336E+00 -1.6855834107364811E+02 2.2221140543997661E-01
2.0000000000000001E-01 6.5000000000000002E-01 6.3635729814699786E+00 -2.4026037186271219E+02 3.1278197905987781E-01
2.0000000000000001E-01 7.0000000000000007E-01 6.3938441495633533E+00 -3.2365547239219558E+02 3.9739928145698572E-01
2.0000000000000001E-01 7.5000000000000000E-01 6.1170363114475137E+00 -4.0218949682041182E+02 4.8168827089454042E-01
2.0000000000000001E-01 8.0000000000000004E-01 5.4110787771889672E+00 -4.3677139949638189E+02 5.7111059657990770E-01
2.0000000000000001E-01 8.5000000000000009E-01 4.2115637658210936E+00 -3.7975442099525839E+02 6.6677668929096257E-01
2.0000000000000001E-01 9.0000000000000002E-01 2.6023185704489600E+00 -1.8467191748665411E+02 7.5704856385775987E-01
2.0000000000000001E-01 9.5000000000000007E-01 9.2657618494538563E-01 2.4766746163324379E+02 8.1683605861550668E-01
2.0000000000000001E-01 1.0000000000000000E+00 1.0738683705290020E-17 9.8805832072009332E+02 8.3676522353475569E-01
2.5000000000000000E-01 0.0000000000000000E+00 -4.6756218688437379E-19 3.2669665390411510E+03 -9.9246315602528661E+00
2.5000000000000000E-01 5.0000000000000003E-02 2.6641090863975641E+00 -1.4007146128007241E+02 -9.1964510796704690E+00
