# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 0.0000000000000000E+00 7.3629102191393913E+03 -5.2326018192619204E+00
0.0000000000000000E+00 5.0000000000000003E-02 -1.6940658945086011E-21 7.3629102191393913E+03 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 -5.0821976835258020E-21 1.0815272421071550E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 3.3881317890172010E-21 9.3465494663469472E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 0.0000000000000000E+00 7.0838667056674940E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 1.6940658945086011E-21 5.3748214938351812E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 3.3881317890172010E-21 4.2203641430799998E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 6.7762635780344027E-21 3.3814644871027749E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 5.0821976835258020E-21 2.6856437337322800E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 -2.7105054312137611E-20 2.0391531798411140E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 5.0821976835258020E-21 1.3977047100244031E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 6.7762635780344027E-21 7.4239349297504236E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 6.7762635780344027E-21 4.7749999400924473E+01 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 1.6940658945086011E-21 -7.4381561972122256E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 -1.6940658945086011E-21 -1.7130209513835950E+03 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 0.0000000000000000E+00 -2.9521183709165330E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 1.6940658945086011E-21 -4.5375063838528094E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.5000000000000009E-01 0.0000000000000000E+00 -6.2845753366530016E+03 1.0000000000000000E+00
0.0000000000000000E+00 9.0000000000000002E-01 3.3881317890172010E-21 -7.0704073858772663E+03 1.0000000000000000E+00
0.0000000000000000E+00 9.5000000000000007E-01 -1.6940658945086011E-21 -4.4105291360992996E+03 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000000E+00 0.0000000000000000E+00 -4.4105301610781662E+03 4.0153583827875794E+00
5.0000000000000003E-02 0.0000000000000000E+00 -1.6940658945086011E-21 7.3629102191393913E+03 -1.1465203638523841E+01
5.0000000000000003E-02 5.0000000000000003E-02 4.5455472684849054E+00 -3.8165073190378771E+03 -1.0463847414338440E+01
5.0000000000000003E-02 1.0000000000000001E-01 6.9721460534177764E+00 -4.8973948126271653E+03 -7.4597787417822454E+00
5.0000000000000003E-02 1.5000000000000002E-01 6.5161196075545398E+00 -3.0544123406321828E+03 -4.6476840494353713E+00
5.0000000000000003E-02 2.0000000000000001E-01 5.2485882244887936E+00 -1.5711220479701569E+03 -2.7153071014154420E+00
5.0000000000000003E-02 2.5000000000000000E-01 4.1378905142457496E+00 -8.1870604944554975E+02 -1.4968220043376339E+00
5.0000000000000003E-02 3.0000000000000004E-01 3.3233147393168760E+00 -4.6477314950148332E+02 -7.1701534407119683E-01
5.0000000000000003E-02 3.5000000000000003E-01 2.7077329749600931E+00 -2.6437002797347759E+02 -1.9362699065157171E-01
5.0000000000000003E-02 4.0000000000000002E-01 2.1877968162067059E+00 -1.2057526505188530E+02 1.7441453524333220E-01
5.0000000000000003E-02 4.5000000000000001E-01 1.6941770563660301E+00 -1.2281545580738770E+01 4.4483821013921682E-01
5.0000000000000003E-02 5.0000000000000000E-01 1.1871819902270440E+00 5.3827271582227411E+01 6.5402090474444219E-01
5.0000000000000003E-02 5.5000000000000004E-01 6.4690695997061431E-01 6.7789671708999222E+01 8.3184813379772160E-01
5.0000000000000003E-02 6.0000000000000009E-01 5.5608321968563031E-02 3.7959969945285259E+01 1.0167394064237800E+00
5.0000000000000003E-02 6.5000000000000002E-01 -6.1813771751111124E-01 4.1007616284321218E+00 1.2602694176856670E+00
5.0000000000000003E-02 7.0000000000000007E-01 -1.4141996935916059E+00 3.1962739298777851E+01 1.6134271590733209E+00
5.0000000000000003E-02 7.5000000000000000E-01 -2.3655041923864122E+00 2.2702684929971861E+02 2.1232053751740638E+00
5.0000000000000003E-02 8.0000000000000004E-01 -3.4612910966101671E+00 7.6791438341204355E+02 2.8598095296906392E+00
5.0000000000000003E-02 8.5000000000000009E-01 -4.4865325029723708E+00 1.8014729870741171E+03 3.9226268748441750E+00
5.0000000000000003E-02 9.0000000000000002E-01 -4.6904466205118593E+00 2.8837432180129490E+03 5.3183230218317847E+00
5.0000000000000003E-02 9.5000000000000007E-01 -2.8660474875623558E+00 1.9425445070446331E+03 6.6026183296393137E+00
5.0000000000000003E-02 1.0000000000000000E+00 3.3881317890172010E-21 -4.4105311860570337E+03 7.0307167655751579E+00
1.0000000000000001E-01 0.0000000000000000E+00 -5.0821976835258020E-21 9.8089609532861709E+02 -8.0586346552899215E+00
1.0000000000000001E-01 5.0000000000000003E-02 1.6687744385751990E+00 2.0432663425631961E+03 -7.4794239861485323E+00
1.0000000000000001E-01 1.0000000000000001E-01 4.5834299411793964E+00 1.2792638872656869E+03 -5.7417919787243648E+00
1.0000000000000001E-01 1.5000000000000002E-01 6.2077130731596748E+00 -1.6942941272025431E+02 -4.3637570706617934E+00
1.0000000000000001E-01 2.0000000000000001E-01 6.4125375391717823E+00 -8.1264894287424886E+02 -3.1077739371992941E+00
1.0000000000000001E-01 2.5000000000000000E-01 5.9328939085650978E+00 -9.4909669798792390E+02 -2.0674931116400321E+00
1.0000000000000001E-01 3.0000000000000004E-01 5.2857025596796561E+00 -9.0275514501989551E+02 -1.2655662339557410E+00
1.0000000000000001E-01 3.5000000000000003E-01 4.6588952546859934E+00 -8.1618419903545043E+02 -6.6681098094842595E-01
1.0000000000000001E-01 4.0000000000000002E-01 4.0478390618874300E+00 -7.2169122123619138E+02 -2.1542805949063451E-01
1.0000000000000001E-01 4.5000000000000001E-01 3.3710255541634768E+00 -6.0718534892787886E+02 1.3996872007665490E-01
1.0000000000000001E-01 5.0000000000000000E-01 2.5422121275375429E+00 -4.5326092212106539E+02 4.3829959644803551E-01
1.0000000000000001E-01 5.5000000000000004E-01 1.5143117120100731E+00 -2.5725468852775202E+02 7.1266397204171017E-01
1.0000000000000001E-01 6.0000000000000009E-01 2.8856397310620041E-01 -3.0919869618190940E+01 1.0084049799642489E+00
1.0000000000000001E-01 6.5000000000000002E-01 -1.1037075940447909E+00 2.3110585569600121E+02 1.3893284079498580E+00
1.0000000000000001E-01 7.0000000000000007E-01 -2.5932500138405459E+00 5.4481765618655618E+02 1.9069947096347211E+00
1.0000000000000001E-01 7.5000000000000000E-01 -4.0189588391797608E+00 8.6771963989043502E+02 2.5715941888334410E+00
