# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 4.4045713257223618E-20 7.3783465316353922E+03 -5.2520642991828757E+00
0.0000000000000000E+00 5.0000000000000003E-02 -1.3552527156068811E-20 7.3783465316353922E+03 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 -5.5904174518783822E-20 1.0829192175962980E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 5.4210108624275222E-20 9.3475466270436900E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 -1.3891340334970530E-19 7.0705616055395121E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 -5.2516042729766621E-20 5.3484788943631665E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 5.2516042729766621E-20 4.1840632501839191E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 9.6561755986990239E-20 3.3432623700714880E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 2.7782680669941051E-19 2.6625968562108492E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 6.5052130349130266E-19 2.0591960521072401E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 -3.3881317890172010E-21 1.4966072249197000E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 -1.9312351197398050E-19 9.5693364606576461E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 1.5415999640028271E-19 4.1299948132988618E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 1.1858461261560200E-20 -1.9013468583736119E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 4.4045713257223618E-20 -9.1607223864544176E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 -5.4210108624275222E-20 -1.7001559616509260E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 -1.1011428314305900E-19 -1.8304790221825720E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.5000000000000009E-01 9.6561755986990239E-20 -4.6515085170183602E+02 1.0000000000000000E+00
0.0000000000000000E+00 9.0000000000000002E-01 -1.0672615135404179E-19 -5.0629461026471536E+03 1.0000000000000000E+00
0.0000000000000000E+00 9.5000000000000007E-01 -4.0657581468206422E-20 -5.6644954694392982E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000000E+00 -1.6940658945086009E-19 -5.6644964468953956E+04 7.4574838142053457E+00
5.0000000000000003E-02 0.0000000000000000E+00 -6.7762635780344027E-20 7.3783465316353922E+03 -1.1504128598365750E+01
5.0000000000000003E-02 5.0000000000000003E-02 4.5540470876086863E+00 -3.8269803787407632E+03 -1.0498525047097280E+01
5.0000000000000003E-02 1.0000000000000001E-01 6.9804782664637726E+00 -4.9052370116956108E+03 -7.4817143932918544E+00
5.0000000000000003E-02 1.5000000000000002E-01 6.5169153378615494E+00 -3.0544969093457662E+03 -4.6580826249109082E+00
5.0000000000000003E-02 2.0000000000000001E-01 5.2395334613045828E+00 -1.5662432787086559E+03 -2.7168587465194380E+00
5.0000000000000003E-02 2.5000000000000000E-01 4.1187693753778252E+00 -8.1191158241689322E+02 -1.4917994917822790E+00
5.0000000000000003E-02 3.0000000000000004E-01 3.2957348523005319E+00 -4.5836309057588250E+02 -7.0758984289640681E-01
5.0000000000000003E-02 3.5000000000000003E-01 2.6773946447197279E+00 -2.6077778431781411E+02 -1.8269208044251881E-01
5.0000000000000003E-02 4.0000000000000002E-01 2.1678402279778841E+00 -1.2237732033079030E+02 1.8278052228297531E-01
5.0000000000000003E-02 4.5000000000000001E-01 1.7077270566777460E+00 -1.9847290334045230E+01 4.4534065602083778E-01
5.0000000000000003E-02 5.0000000000000000E-01 1.2668851817273861E+00 4.7309895691639753E+01 6.3990019656748143E-01
5.0000000000000003E-02 5.5000000000000004E-01 8.3160354419523685E-01 8.1981154456120009E+01 7.9339385403529128E-01
5.0000000000000003E-02 6.0000000000000009E-01 3.8919405786356248E-01 1.0806674837544990E+02 9.4260301862019746E-01
5.0000000000000003E-02 6.5000000000000002E-01 -8.2598866966255735E-02 1.8203209686363991E+02 1.1641347117557179E+00
5.0000000000000003E-02 7.0000000000000007E-01 -6.0427189312200003E-01 3.8189197701897621E+02 1.6305667195438289E+00
5.0000000000000003E-02 7.5000000000000000E-01 -1.1238660817571540E+00 7.0303340746984475E+02 2.7376978601005182E+00
5.0000000000000003E-02 8.0000000000000004E-01 -1.3505287151267391E+00 4.1968922465830741E+02 5.2419511943205404E+00
5.0000000000000003E-02 8.5000000000000009E-01 -1.4044497843210850E+00 -2.4403776785128580E+03 9.9515386754272672E+00
5.0000000000000003E-02 9.0000000000000002E-01 -5.8557613619957483E+00 -3.9279346446588129E+03 1.8149776205590669E+01
5.0000000000000003E-02 9.5000000000000007E-01 -2.7331644556814751E+01 4.7693964407341482E+04 1.4973669772705680E+01
5.0000000000000003E-02 1.0000000000000000E+00 -3.9810548520952121E-19 -5.6644974243515950E+04 1.3914967628410690E+01
1.0000000000000001E-01 0.0000000000000000E+00 -8.4703294725430034E-20 9.7646858276086039E+02 -8.0798996983243274E+00
1.0000000000000001E-01 5.0000000000000003E-02 1.6682588519868069E+00 2.0508839599234489E+03 -7.4989559123282374E+00
1.0000000000000001E-01 1.0000000000000001E-01 4.5878577456771890E+00 1.2809379125307430E+03 -5.7561245543399657E+00
1.0000000000000001E-01 1.5000000000000002E-01 6.2114071227356700E+00 -1.7373524018001760E+02 -4.3732955103893696E+00
1.0000000000000001E-01 2.0000000000000001E-01 6.4068408185130989E+00 -8.1811066396729211E+02 -3.1104490815214620E+00
1.0000000000000001E-01 2.5000000000000000E-01 5.9100301713718242E+00 -9.5161973264612129E+02 -2.0620335613099452E+00
1.0000000000000001E-01 3.0000000000000004E-01 5.2408676285141587E+00 -8.9964999512655288E+02 -1.2522299815271429E+00
1.0000000000000001E-01 3.5000000000000003E-01 4.5940590183765009E+00 -8.0533977757754087E+02 -6.4806696817756437E-01
1.0000000000000001E-01 4.0000000000000002E-01 3.9802959005692640E+00 -7.0272439807612739E+02 -1.9668383742565981E-01
1.0000000000000001E-01 4.5000000000000001E-01 3.3465645896918632E+00 -5.8570438494120197E+02 1.4957933712198579E-01
1.0000000000000001E-01 5.0000000000000000E-01 2.6464848687905209E+00 -4.4345267587204961E+02 4.2525980772939992E-01
1.0000000000000001E-01 5.5000000000000004E-01 1.8752878294383710E+00 -2.7452785247251529E+02 6.5792741191715354E-01
1.0000000000000001E-01 6.0000000000000009E-01 1.0779384332154940E+00 -8.6805788065044453E+01 8.8695624521760918E-01
1.0000000000000001E-01 6.5000000000000002E-01 3.3976262311496258E-01 8.8867009351230266E+01 1.1886626852787570E+00
1.0000000000000001E-01 7.0000000000000007E-01 -2.5589265276397999E-01 1.5109157462288590E+02 1.7026906881716910E+00
1.0000000000000001E-01 7.5000000000000000E-01 -7.8308014772519507E-01 -8.3414592852818757E+01 2.6857785996280561E+00
1.0000000000000001E-01 8.0000000000000004E-01 -1.8245759015136640E+00 -6.1703585608953438E+02 4.2134270278526307E+00
1.0000000000000001E-01 8.5000000000000009E-01 -4.5124534382663084E+00 1.5498558009337189E+03 2.1643153883657220E+00
1.0000000000000001E-01 9.0000000000000002E-01 -4.5067880111481271E+00 8.6523953798004368E+03 -6.2996982485912074E+00
1.0000000000000001E-01 9.5000000000000007E-01 1.5764097706567460E+01 -3.7699897578599710E+04 4.7096885268543947E+00
1.0000000000000001E-01 1.0000000000000000E+00 -1.0164395367051600E-20 3.7766876748778654E+04 8.3794841186695947E+00
1.5000000000000002E-01 0.0000000000000000E+00 9.1479558303464437E-20 3.3897202189330910E+03 -9.3583332168763391E+00
1.5000000000000002E-01 5.0000000000000003E-02 2.6583406272727399E+00 -3.9942312255094100E+02 -8.7584162004077175E+00
1.5000000000000002E-01 1.0000000000000001E-01 5.4628860351931943E+00 -1.6100997963258669E+03 -6.9586651510018518E+00
