# x y stream-function vorticity temperature
# Unflattened from original Fortran order: Do I=1,NQ; Do j=1,NX+2; Do k=1,NY+2
# NQ=3, NX=19, NY=19, total_nodes_x=21, total_nodes_y=21
0.0000000000000000E+00 0.0000000000000000E+00 3.0493186101154812E-20 4.8562599143363492E+04 -3.9410145135423602E+00
0.0000000000000000E+00 5.0000000000000003E-02 2.7105054312137611E-20 4.8562599143363492E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000001E-01 1.7618285302889449E-19 8.4944243269393883E+03 1.0000000000000000E+00
0.0000000000000000E+00 1.5000000000000002E-01 1.4399560103323111E-19 1.2884795520032010E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.0000000000000001E-01 2.0328790734103211E-20 1.6126275680270380E+03 1.0000000000000000E+00
0.0000000000000000E+00 2.5000000000000000E-01 1.2366681029912780E-19 2.8516002029222568E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.0000000000000004E-01 -2.2022856628611809E-19 3.0035704283815271E+03 1.0000000000000000E+00
0.0000000000000000E+00 3.5000000000000003E-01 2.9476746564449652E-19 2.6701188812832320E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.0000000000000002E-01 -8.3009228830921433E-20 2.2601344465869111E+03 1.0000000000000000E+00
0.0000000000000000E+00 4.5000000000000001E-01 2.1175823681357511E-19 1.8308365886074789E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.0000000000000000E-01 -2.2022856628611809E-20 1.3739521286016591E+03 1.0000000000000000E+00
0.0000000000000000E+00 5.5000000000000004E-01 -3.3881317890172008E-20 8.9388981113840771E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.0000000000000009E-01 4.7264438456789959E-19 3.8544084988908043E+02 1.0000000000000000E+00
0.0000000000000000E+00 6.5000000000000002E-01 2.5749801596530730E-19 -1.9410389079957241E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.0000000000000007E-01 1.6601845766184289E-19 -9.0711238124320948E+02 1.0000000000000000E+00
0.0000000000000000E+00 7.5000000000000000E-01 1.6940658945086010E-20 -1.6908393506926291E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.0000000000000004E-01 2.6258021364883311E-19 -1.8299365464078860E+03 1.0000000000000000E+00
0.0000000000000000E+00 8.5000000000000009E-01 -2.2192263218062669E-19 -4.6987481873671572E+02 1.0000000000000000E+00
0.0000000000000000E+00 9.0000000000000002E-01 1.5246593050577409E-20 -5.0638780884306934E+03 1.0000000000000000E+00
0.0000000000000000E+00 9.5000000000000007E-01 -3.0493186101154812E-20 -5.6649842442346038E+04 1.0000000000000000E+00
0.0000000000000000E+00 1.0000000000000000E+00 1.8634724839594610E-20 -5.6649852217860709E+04 7.4576122283985828E+00
5.0000000000000003E-02 0.0000000000000000E+00 7.2844833463869829E-20 4.8562599143363492E+04 -8.8820290270847195E+00
5.0000000000000003E-02 5.0000000000000003E-02 2.3600635424441080E+01 -4.0483674956117327E+04 -9.1422985751572163E+00
5.0000000000000003E-02 1.0000000000000001E-01 7.4991585249946873E+00 1.0091312697268710E+03 -9.9231072193747067E+00
5.0000000000000003E-02 1.5000000000000002E-01 2.4650259986192751E+00 3.3391031163674670E+03 -6.4543559035443430E+00
5.0000000000000003E-02 2.0000000000000001E-01 1.7842679736489460E+00 1.0569878730826040E+03 -3.7131531676469649E+00
5.0000000000000003E-02 2.5000000000000000E-01 2.1368018312198829E+00 -5.7487616375276491E+02 -1.9954709417438881E+00
5.0000000000000003E-02 3.0000000000000004E-01 2.1767796555606349E+00 -7.8286983911293805E+02 -8.1989646413542849E-01
5.0000000000000003E-02 3.5000000000000003E-01 1.9916532234919790E+00 -5.6027016863984898E+02 -1.2736886324552280E-01
5.0000000000000003E-02 4.0000000000000002E-01 1.7474227090864629E+00 -3.2645451635172009E+02 2.7243679615287320E-01
5.0000000000000003E-02 4.5000000000000001E-01 1.4660418355202030E+00 -1.4317287682595020E+02 5.2201688295625137E-01
5.0000000000000003E-02 5.0000000000000000E-01 1.1386855888647920E+00 -1.5058925372955450E+01 6.9374827569634323E-01
5.0000000000000003E-02 5.5000000000000004E-01 7.6982641701733523E-01 5.9803723502514558E+01 8.2657664648279117E-01
5.0000000000000003E-02 6.0000000000000009E-01 3.6531200246503198E-01 1.0586708000876590E+02 9.5976925650414247E-01
5.0000000000000003E-02 6.5000000000000002E-01 -8.5006241648100861E-02 1.8419280772382291E+02 1.1692495196807089E+00
5.0000000000000003E-02 7.0000000000000007E-01 -5.9715936473837816E-01 3.8104232982647648E+02 1.6269116301240649E+00
5.0000000000000003E-02 7.5000000000000000E-01 -1.1170913270237599E+00 7.0065959642883081E+02 2.7294230115281781E+00
5.0000000000000003E-02 8.0000000000000004E-01 -1.3492467959372261E+00 4.2168087907207911E+02 5.2344936676693674E+00
5.0000000000000003E-02 8.5000000000000009E-01 -1.4063458393332671E+00 -2.4354802763367220E+03 9.9470268388786867E+00
5.0000000000000003E-02 9.0000000000000002E-01 -5.8569493354575810E+00 -3.9289218093151630E+03 1.8148772572680581E+01
5.0000000000000003E-02 9.5000000000000007E-01 -2.7334309179955191E+01 4.7697344807901638E+04 1.4973611485768020E+01
5.0000000000000003E-02 1.0000000000000000E+00 -1.1858461261560200E-20 -5.6649861993375373E+04 1.3915224456797169E+01
1.0000000000000001E-01 0.0000000000000000E+00 1.0164395367051600E-19 -3.4417628062883668E+04 -8.1327815952179652E+00
1.0000000000000001E-01 5.0000000000000003E-02 -1.4305807233792500E+01 3.4501319787896391E+04 -4.5797794371655263E+00
1.0000000000000001E-01 1.0000000000000001E-01 6.4538009264217147E+00 -8.6856531055724427E+03 6.0792270369917887E+00
1.0000000000000001E-01 1.5000000000000002E-01 8.9244355355347018E+00 -5.4014252652905070E+03 1.7605839884781600E+00
1.0000000000000001E-01 2.0000000000000001E-01 5.1777138262148688E+00 -4.6435582371310488E+02 -1.8662732870401579E+00
1.0000000000000001E-01 2.5000000000000000E-01 3.1489692434564249E+00 1.0944107850431980E+02 -1.8877692506147561E+00
1.0000000000000001E-01 3.0000000000000004E-01 2.6214889114199829E+00 -1.3596033473091370E+02 -1.0052070846417509E+00
1.0000000000000001E-01 3.5000000000000003E-01 2.6417350659778158E+00 -3.6171477375364901E+02 -3.8977993268202482E-01
1.0000000000000001E-01 4.0000000000000002E-01 2.7158594621316130E+00 -4.8686676419036849E+02 5.3032913367776864E-03
1.0000000000000001E-01 4.5000000000000001E-01 2.6201268413974730E+00 -5.0227882269929620E+02 2.8976881788841108E-01
1.0000000000000001E-01 5.0000000000000000E-01 2.2812267883672641E+00 -4.2140808012929853E+02 5.1581836650068380E-01
1.0000000000000001E-01 5.5000000000000004E-01 1.7248173899515280E+00 -2.7261439487452247E+02 7.1177135122676471E-01
1.0000000000000001E-01 6.0000000000000009E-01 1.0410955424005210E+00 -9.0090332269865442E+01 9.1407727142266415E-01
1.0000000000000001E-01 6.5000000000000002E-01 3.5230442871393358E-01 8.3089178604206367E+01 1.1963128757863040E+00
1.0000000000000001E-01 7.0000000000000007E-01 -2.3393403732559481E-01 1.4764213816317309E+02 1.6977687477052790E+00
1.0000000000000001E-01 7.5000000000000000E-01 -7.7031010414415035E-01 -7.9753093472223512E+01 2.6768278033534889E+00
1.0000000000000001E-01 8.0000000000000004E-01 -1.8193477882940030E+00 -6.1216282724916243E+02 4.2108824926242763E+00
1.0000000000000001E-01 8.5000000000000009E-01 -4.5078880982374923E+00 1.5454994875295929E+03 2.1754121086811882E+00
1.0000000000000001E-01 9.0000000000000002E-01 -4.5094471385572570E+00 8.6582388393856290E+03 -6.2980188641236916E+00
1.0000000000000001E-01 9.5000000000000007E-01 1.5763078189119870E+01 -3.7700634830323092E+04 4.7119035962466409E+00
1.0000000000000001E-01 1.0000000000000000E+00 -1.8634724839594610E-20 3.7766021953010473E+04 8.3818777497034187E+00
1.5000000000000002E-01 0.0000000000000000E+00 -1.1858461261560200E-20 1.2307356207031460E+03 -5.4028512047706187E+01
1.5000000000000002E-01 5.0000000000000003E-02 -1.0243632457431511E+00 -4.9199429579216867E+03 -4.1847585411562157E+01
1.5000000000000002E-01 1.0000000000000001E-01 6.2513362775896573E+00 -4.2591188870252809E+03 -5.3048055031300674E+00
1.5000000000000002E-01 1.5000000000000002E-01 8.7970614339342248E+00 -4.6462710913833098E+03 -1.1708432920250931E+00
1.5000000000000002E-01 2.0000000000000001E-01 5.4752673812915873E+00 -4.7204862837446939E+02 -1.6028960529085750E+00
1.5000000000000002E-01 2.5000000000000000E-01 2.9364398211946030E+00 5.6240151712325110E+02 -1.4653549423996099E+00
1.5000000000000002E-01 3.0000000000000004E-01 2.2128228547887301E+00 3.6280403408240892E+02 -8.3642531199388159E-01
1.5000000000000002E-01 3.5000000000000003E-01 2.3886582457584749E+00 4.0980422654502803E+01 -3.5463508651636932E-01
1.5000000000000002E-01 4.0000000000000002E-01 2.7233711217995782E+00 -1.7470759621611910E+02 -1.0880861306747860E-02
1.5000000000000002E-01 4.5000000000000001E-01 2.8628374836039940E+00 -2.8624898832775818E+02 2.5551821551936921E-01
1.5000000000000002E-01 5.0000000000000000E-01 2.6809678738642981E+00 -3.0146691780334822E+02 4.7992182346827711E-01
1.5000000000000002E-01 5.5000000000000004E-01 2.1938803695012652E+00 -2.2527553227802451E+02 6.8758286097306198E-01
1.5000000000000002E-01 6.0000000000000009E-01 1.5319498998729659E+00 -9.2098535125416234E+01 9.1088788459834324E-01
1.5000000000000002E-01 6.5000000000000002E-01 8.9527168097465670E-01 1.1191932044113640E+01 1.2056295296964410E+00
1.5000000000000002E-01 7.0000000000000007E-01 4.2518919706833180E-01 -6.1762509458649241E+01 1.6635778661111480E+00
1.5000000000000002E-01 7.5000000000000000E-01 -9.4695951165006037E-02 -4.4821233582401243E+02 2.4277841485995810E+00
1.5000000000000002E-01 8.0000000000000004E-01 -1.6800412589300060E+00 -7.0175234884066867E+02 3.4575504292089629E+00
